#FILE:                       ,sws-10k.dsv          
#FORMAT:                     ,NETZSCH5             
#IDENTITY:                   ,1                    
#DECIMAL:                    ,POINT                
#SEPARATOR:                  ,COMMA                
#MTYPE:                      ,DTA                  
#MSUBTYPE:                   ,                     
#INSTRUMENT:                 ,NETZSCH STA 409 PC/PG
#PROJECT:                    ,                     
#DATE/TIME:                  ,2002-1-2 15:27:37    
#CORR. FILE:                 ,10k.bsv              
#LABORATORY:                 ,                     
#OPERATOR:                   ,1                    
#REMARK:                     ,                     
#SAMPLE:                     ,1                    
#SAMPLE MASS /mg:            ,29.908               
#MATERIAL:                   ,                     
#REFERENCE:                  ,yes                  
#REFERENCE MASS /mg:         ,0.000                
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                
#REFERENCE CRUCIBLE MASS /mg:,0.000                
#GAS 1:                      ,                     
#FLOW RATE 1:                ,                     
#GAS 2:                      ,air                  
#FLOW RATE 2 /(ml/min):      ,50                   
#CORR. CODE:                 ,820                  
#EXO:                        ,+1                   
#RANGE:                      ,30/10.0(K/min)/1000  
#SEGMENT:                    ,S1/1                 

##Temp./°„C,Time/min,DTA/(uV/mg),Mass/%,DTG/(%/min),Sensit./(¶ÃV/mW)
200.11400,   16.67791,    -0.17888, 99.26025,-3.9520e-002,1.00000
202.61400,   16.91726,    -0.17394, 99.25099,-3.7752e-002,1.00000
205.11400,   17.15650,    -0.16897, 99.24222,-3.5496e-002,1.00000
207.61400,   17.39718,    -0.16396, 99.23397,-3.3082e-002,1.00000
210.11400,   17.63783,    -0.15893, 99.22628,-3.0801e-002,1.00000
212.61400,   17.87899,    -0.15388, 99.21911,-2.8706e-002,1.00000
215.11400,   18.12112,    -0.14880, 99.21241,-2.6638e-002,1.00000
217.61400,   18.36319,    -0.14371, 99.20622,-2.4427e-002,1.00000
220.11400,   18.60564,    -0.13861, 99.20058,-2.2121e-002,1.00000
222.61400,   18.84816,    -0.13350, 99.19548,-2.0120e-002,1.00000
225.11400,   19.09201,    -0.12837, 99.19073,-1.9023e-002,1.00000
227.61400,   19.33599,    -0.12326, 99.18610,-1.9307e-002,1.00000
230.11400,   19.58091,    -0.11814, 99.18119,-2.0977e-002,1.00000
232.61400,   19.82595,    -0.11304, 99.17576,-2.3469e-002,1.00000
235.11400,   20.07084,    -0.10796, 99.16970,-2.5896e-002,1.00000
237.61400,   20.31687,    -0.10287, 99.16311,-2.7444e-002,1.00000
240.11400,   20.56281,-9.7791e-002, 99.15630,-2.7648e-002,1.00000
242.61400,   20.80906,-9.2729e-002, 99.14960,-2.6507e-002,1.00000
245.11400,   21.05588,-8.7685e-002, 99.14330,-2.4345e-002,1.00000
247.61400,   21.30331,-8.2662e-002, 99.13760,-2.1644e-002,1.00000
250.11400,   21.55060,-7.7667e-002, 99.13259,-1.8930e-002,1.00000
252.61400,   21.79805,-7.2671e-002, 99.12821,-1.6682e-002,1.00000
255.11400,   22.04586,-6.7645e-002, 99.12427,-1.5276e-002,1.00000
257.61400,   22.29438,-6.2558e-002, 99.12055,-1.4901e-002,1.00000
260.11400,   22.54316,-5.7405e-002, 99.11679,-1.5473e-002,1.00000
262.61400,   22.79179,-5.2194e-002, 99.11281,-1.6632e-002,1.00000
265.11400,   23.04112,-4.6910e-002, 99.10850,-1.7904e-002,1.00000
267.61400,   23.29012,-4.1586e-002, 99.10391,-1.8901e-002,1.00000
270.11400,   23.53943,-3.6221e-002, 99.09911,-1.9538e-002,1.00000
272.61400,   23.78906,-3.0835e-002, 99.09417,-2.0036e-002,1.00000
275.11400,   24.03901,-2.5452e-002, 99.08908,-2.0763e-002,1.00000
277.61400,   24.28894,-2.0093e-002, 99.08376,-2.1978e-002,1.00000
280.11400,   24.53913,-1.4757e-002, 99.07805,-2.3695e-002,1.00000
282.61400,   24.78972,-9.4285e-003, 99.07187,-2.5723e-002,1.00000
